"PRJ_ID","PRJ_CTY_USERCREATION","PRJ_CTY_USERUPDATE","PRJ_CTY_DATECREATION","PRJ_CTY_DATEUPDATE","CTY_ID"
461,"PGERARD","",16/12/09,,336
461,"PGERARD","",16/12/09,,17
461,"PGERARD","",16/12/09,,23
462,"PGERARD","",19/09/11,,242
229,"PGERARD","",09/07/04,,602
169,"PGERARD","",11/01/12,,35
229,"PGERARD","",09/07/04,,208
178,"PGERARD","",11/01/12,,211
229,"PGERARD","",09/07/04,,330
171,"PGERARD","",11/01/12,,210
229,"PGERARD","",09/07/04,,659
464,"PGERARD","",12/01/12,,1414
162,"PGERARD","",12/01/12,,114
229,"PGERARD","",09/07/04,,124
473,"PGERARD","",13/02/12,,148
229,"PGERARD","",09/07/04,,60
229,"PGERARD","",09/07/04,,2
229,"PGERARD","",09/07/04,,96
229,"PGERARD","",09/07/04,,649
229,"PGERARD","",09/07/04,,632
229,"PGERARD","",09/07/04,,71
229,"PGERARD","",09/07/04,,117
229,"PGERARD","",09/07/04,,466
229,"PGERARD","",09/07/04,,633
229,"PGERARD","",09/07/04,,697
229,"PGERARD","",09/07/04,,650
229,"PGERARD","",09/07/04,,17
229,"PGERARD","",09/07/04,,523
229,"PGERARD","",09/07/04,,608
229,"PGERARD","",09/07/04,,332
229,"PGERARD","",09/07/04,,625
229,"PGERARD","",09/07/04,,609
229,"PGERARD","",09/07/04,,581
229,"PGERARD","",09/07/04,,610
229,"PGERARD","",09/07/04,,333
229,"PGERARD","",09/07/04,,23
229,"PGERARD","",09/07/04,,539
229,"PGERARD","",09/07/04,,614
229,"PGERARD","",09/07/04,,636
229,"PGERARD","",09/07/04,,637
229,"PGERARD","",09/07/04,,133
229,"PGERARD","",09/07/04,,616
229,"PGERARD","",09/07/04,,617
229,"PGERARD","",09/07/04,,689
229,"PGERARD","",09/07/04,,48
229,"PGERARD","",09/07/04,,643
229,"PGERARD","",09/07/04,,75
229,"PGERARD","",09/07/04,,76
229,"PGERARD","",09/07/04,,619
229,"PGERARD","",09/07/04,,99
229,"PGERARD","",09/07/04,,167
229,"PGERARD","",09/07/04,,78
229,"PGERARD","",09/07/04,,478
229,"PGERARD","",09/07/04,,626
375,"GDEROEP","",19/04/07,,1381
454,"PGERARD","",29/07/09,,253
376,"GDEROEP","",19/04/07,,1383
235,"PGERARD","",21/01/09,,208
438,"PGERARD","",27/01/09,,253
373,"GDEROEP","",19/04/07,,1388
374,"GDEROEP","",19/04/07,,1379
406,"PGERARD","",27/07/09,,93
443,"PGERARD","",24/07/09,,9
442,"PGERARD","",24/07/09,,9
382,"GDEROEP","",25/04/07,,1390
383,"GDEROEP","",26/04/07,,1375
453,"PGERARD","",29/07/09,,253
380,"GDEROEP","",26/04/07,,1384
444,"PGERARD","",24/07/09,,9
408,"PGERARD","",27/07/09,,48
406,"PGERARD","",27/07/09,,40
406,"PGERARD","",27/07/09,,138
434,"PGERARD","",27/07/09,,964
386,"GDEROEP","",26/04/07,,1384
387,"GDEROEP","",26/04/07,,1377
431,"PGERARD","",27/07/09,,91
434,"PGERARD","",27/07/09,,965
434,"PGERARD","",27/07/09,,23
434,"PGERARD","",27/07/09,,544
173,"PGERARD","",29/07/09,,253
170,"PGERARD","",29/07/09,,35
439,"PGERARD","",29/07/09,,253
168,"PGERARD","",29/07/09,,35
167,"PGERARD","",29/07/09,,35
448,"GDEROEP","",12/08/09,,337
455,"PGERARD","",29/07/09,,35
461,"PGERARD","",16/12/09,,93
456,"PGERARD","",29/07/09,,35
445,"GDEROEP","",12/08/09,,91
385,"GDEROEP","",13/08/08,,286
159,"PGERARD","",13/01/09,,337
215,"GDEROEP","",13/08/09,,502
385,"GDEROEP","",13/08/08,,1372
385,"GDEROEP","",13/08/08,,1371
253,"GDEROEP","",16/02/06,,20
253,"GDEROEP","",16/02/06,,136
253,"GDEROEP","",16/02/06,,71
253,"GDEROEP","",16/02/06,,17
246,"GDEROEP","",16/02/06,,17
254,"GDEROEP","",20/02/06,,182
385,"GDEROEP","",13/08/08,,282
385,"GDEROEP","",13/08/08,,1224
385,"GDEROEP","",13/08/08,,253
251,"GDEROEP","",16/02/06,,71
252,"GDEROEP","",16/02/06,,36
252,"GDEROEP","",16/02/06,,17
254,"GDEROEP","",20/02/06,,1268
254,"GDEROEP","",20/02/06,,967
385,"GDEROEP","",13/08/08,,10
287,"PGERARD","",18/08/08,,239
287,"PGERARD","",18/08/08,,337
287,"PGERARD","",18/08/08,,17
215,"GDEROEP","",13/08/09,,93
215,"GDEROEP","",13/08/09,,136
340,"PGERARD","",14/02/07,,1337
296,"PGERARD","",13/01/09,,24
247,"GDEROEP","",16/02/06,,236
247,"GDEROEP","",16/02/06,,2
247,"GDEROEP","",16/02/06,,17
250,"GDEROEP","",16/02/06,,960
142,"PGERARD","",13/01/09,,208
215,"GDEROEP","",13/08/09,,38
215,"GDEROEP","",13/08/09,,489
215,"GDEROEP","",13/08/09,,148
215,"GDEROEP","",13/08/09,,282
215,"GDEROEP","",13/08/09,,42
215,"GDEROEP","",13/08/09,,234
347,"PGERARD","",14/02/07,,10
250,"GDEROEP","",16/02/06,,337
250,"GDEROEP","",16/02/06,,124
250,"GDEROEP","",16/02/06,,36
250,"GDEROEP","",16/02/06,,71
250,"GDEROEP","",16/02/06,,17
250,"GDEROEP","",16/02/06,,13
242,"GDEROEP","",16/02/06,,93
242,"GDEROEP","",16/02/06,,238
246,"GDEROEP","",16/02/06,,71
247,"GDEROEP","",16/02/06,,13
245,"GDEROEP","",16/02/06,,2
245,"GDEROEP","",16/02/06,,123
215,"GDEROEP","",13/08/09,,456
215,"GDEROEP","",13/08/09,,458
215,"GDEROEP","",13/08/09,,18
215,"GDEROEP","",13/08/09,,109
215,"GDEROEP","",13/08/09,,445
215,"GDEROEP","",13/08/09,,236
215,"GDEROEP","",13/08/09,,95
215,"GDEROEP","",13/08/09,,447
215,"GDEROEP","",13/08/09,,481
215,"GDEROEP","",13/08/09,,15
215,"GDEROEP","",13/08/09,,490
245,"GDEROEP","",16/02/06,,23
254,"GDEROEP","",20/02/06,,69
248,"GDEROEP","",16/02/06,,20
248,"GDEROEP","",16/02/06,,93
248,"GDEROEP","",16/02/06,,21
248,"GDEROEP","",16/02/06,,22
248,"GDEROEP","",16/02/06,,124
248,"GDEROEP","",16/02/06,,36
248,"GDEROEP","",16/02/06,,71
215,"GDEROEP","",13/08/09,,492
215,"GDEROEP","",13/08/09,,493
215,"GDEROEP","",13/08/09,,337
215,"GDEROEP","",13/08/09,,124
215,"GDEROEP","",13/08/09,,102
215,"GDEROEP","",13/08/09,,123
215,"GDEROEP","",13/08/09,,71
215,"GDEROEP","",13/08/09,,494
215,"GDEROEP","",13/08/09,,477
215,"GDEROEP","",13/08/09,,62
215,"GDEROEP","",13/08/09,,466
215,"GDEROEP","",13/08/09,,467
215,"GDEROEP","",13/08/09,,111
215,"GDEROEP","",13/08/09,,3
215,"GDEROEP","",13/08/09,,64
215,"GDEROEP","",13/08/09,,73
215,"GDEROEP","",13/08/09,,46
215,"GDEROEP","",13/08/09,,344
215,"GDEROEP","",13/08/09,,449
215,"GDEROEP","",13/08/09,,1201
215,"GDEROEP","",13/08/09,,468
215,"GDEROEP","",13/08/09,,23
215,"GDEROEP","",13/08/09,,97
215,"GDEROEP","",13/08/09,,9
215,"GDEROEP","",13/08/09,,49
215,"GDEROEP","",13/08/09,,495
215,"GDEROEP","",13/08/09,,67
215,"GDEROEP","",13/08/09,,228
215,"GDEROEP","",13/08/09,,69
215,"GDEROEP","",13/08/09,,83
215,"GDEROEP","",13/08/09,,78
215,"GDEROEP","",13/08/09,,478
230,"PGERARD","",13/07/04,,725
230,"PGERARD","",13/07/04,,803
230,"PGERARD","",13/07/04,,208
230,"PGERARD","",13/07/04,,110
230,"PGERARD","",13/07/04,,659
230,"PGERARD","",13/07/04,,2
230,"PGERARD","",13/07/04,,96
230,"PGERARD","",13/07/04,,649
230,"PGERARD","",13/07/04,,123
230,"PGERARD","",13/07/04,,566
230,"PGERARD","",13/07/04,,117
230,"PGERARD","",13/07/04,,805
230,"PGERARD","",13/07/04,,819
230,"PGERARD","",13/07/04,,650
230,"PGERARD","",13/07/04,,17
230,"PGERARD","",13/07/04,,332
230,"PGERARD","",13/07/04,,609
230,"PGERARD","",13/07/04,,539
230,"PGERARD","",13/07/04,,637
230,"PGERARD","",13/07/04,,133
230,"PGERARD","",13/07/04,,616
230,"PGERARD","",13/07/04,,689
230,"PGERARD","",13/07/04,,97
230,"PGERARD","",13/07/04,,739
230,"PGERARD","",13/07/04,,34
230,"PGERARD","",13/07/04,,643
230,"PGERARD","",13/07/04,,219
230,"PGERARD","",13/07/04,,76
230,"PGERARD","",13/07/04,,99
230,"PGERARD","",13/07/04,,167
230,"PGERARD","",13/07/04,,78
230,"PGERARD","",13/07/04,,626
248,"GDEROEP","",16/02/06,,17
248,"GDEROEP","",16/02/06,,23
248,"GDEROEP","",16/02/06,,82
248,"GDEROEP","",16/02/06,,6
254,"GDEROEP","",20/02/06,,242
254,"GDEROEP","",20/02/06,,290
254,"GDEROEP","",20/02/06,,26
254,"GDEROEP","",20/02/06,,169
254,"GDEROEP","",20/02/06,,403
254,"GDEROEP","",20/02/06,,1013
254,"GDEROEP","",20/02/06,,409
254,"GDEROEP","",20/02/06,,93
254,"GDEROEP","",20/02/06,,136
254,"GDEROEP","",20/02/06,,210
254,"GDEROEP","",20/02/06,,38
254,"GDEROEP","",20/02/06,,1255
254,"GDEROEP","",20/02/06,,21
254,"GDEROEP","",20/02/06,,11
254,"GDEROEP","",20/02/06,,552
254,"GDEROEP","",20/02/06,,37
254,"GDEROEP","",20/02/06,,1101
254,"GDEROEP","",20/02/06,,70
254,"GDEROEP","",20/02/06,,286
254,"GDEROEP","",20/02/06,,1271
254,"GDEROEP","",20/02/06,,33
254,"GDEROEP","",20/02/06,,422
254,"GDEROEP","",20/02/06,,424
254,"GDEROEP","",20/02/06,,40
254,"GDEROEP","",20/02/06,,30
254,"GDEROEP","",20/02/06,,22
254,"GDEROEP","",20/02/06,,116
288,"PGERARD","",19/05/05,,362
254,"GDEROEP","",20/02/06,,317
145,"PGERARD","",13/01/09,,321
184,"PGERARD","",02/06/04,,33
223,"GDEROEP","",13/08/09,,22
223,"GDEROEP","",13/08/09,,234
294,"PGERARD","",02/03/06,,107
223,"GDEROEP","",13/08/09,,239
223,"GDEROEP","",13/08/09,,3
158,"PGERARD","",13/01/09,,324
181,"PGERARD","",13/01/09,,22
223,"GDEROEP","",13/08/09,,341
384,"GDEROEP","",13/08/09,,502
384,"GDEROEP","",13/08/09,,21
275,"PGERARD","",28/07/09,,234
275,"PGERARD","",28/07/09,,337
275,"PGERARD","",28/07/09,,1234
126,"PGERARD","",17/09/09,,169
126,"PGERARD","",17/09/09,,38
126,"PGERARD","",17/09/09,,94
126,"PGERARD","",17/09/09,,37
294,"PGERARD","",02/03/06,,15
294,"PGERARD","",02/03/06,,73
393,"GDEROEP","",13/08/09,,502
430,"GDEROEP","",13/08/09,,964
430,"GDEROEP","",13/08/09,,96
430,"GDEROEP","",13/08/09,,337
430,"GDEROEP","",13/08/09,,23
430,"GDEROEP","",13/08/09,,544
268,"GDEROEP","",21/02/06,,57
268,"GDEROEP","",21/02/06,,1158
268,"GDEROEP","",21/02/06,,132
268,"GDEROEP","",21/02/06,,2
268,"GDEROEP","",21/02/06,,91
268,"GDEROEP","",21/02/06,,468
268,"GDEROEP","",21/02/06,,23
268,"GDEROEP","",21/02/06,,99
124,"PGERARD","",17/09/09,,26
124,"PGERARD","",17/09/09,,21
124,"PGERARD","",17/09/09,,37
124,"PGERARD","",17/09/09,,70
124,"PGERARD","",17/09/09,,39
124,"PGERARD","",17/09/09,,33
124,"PGERARD","",17/09/09,,284
124,"PGERARD","",17/09/09,,22
294,"PGERARD","",02/03/06,,94
124,"PGERARD","",17/09/09,,104
124,"PGERARD","",17/09/09,,14
124,"PGERARD","",17/09/09,,88
124,"PGERARD","",17/09/09,,107
124,"PGERARD","",17/09/09,,108
124,"PGERARD","",17/09/09,,43
124,"PGERARD","",17/09/09,,109
124,"PGERARD","",17/09/09,,86
124,"PGERARD","",17/09/09,,101
124,"PGERARD","",17/09/09,,15
124,"PGERARD","",17/09/09,,87
124,"PGERARD","",17/09/09,,35
124,"PGERARD","",17/09/09,,79
124,"PGERARD","",17/09/09,,44
124,"PGERARD","",17/09/09,,110
124,"PGERARD","",17/09/09,,124
124,"PGERARD","",17/09/09,,32
124,"PGERARD","",17/09/09,,89
124,"PGERARD","",17/09/09,,340
124,"PGERARD","",17/09/09,,102
124,"PGERARD","",17/09/09,,41
124,"PGERARD","",17/09/09,,111
124,"PGERARD","",17/09/09,,64
265,"PGERARD","",30/08/04,,57
265,"PGERARD","",30/08/04,,1158
265,"PGERARD","",30/08/04,,132
265,"PGERARD","",30/08/04,,2
265,"PGERARD","",30/08/04,,91
265,"PGERARD","",30/08/04,,468
265,"PGERARD","",30/08/04,,23
124,"PGERARD","",17/09/09,,46
265,"PGERARD","",30/08/04,,99
265,"PGERARD","",30/08/04,,6
124,"PGERARD","",17/09/09,,344
124,"PGERARD","",17/09/09,,343
124,"PGERARD","",17/09/09,,113
124,"PGERARD","",17/09/09,,338
124,"PGERARD","",17/09/09,,13
124,"PGERARD","",17/09/09,,82
124,"PGERARD","",17/09/09,,31
124,"PGERARD","",17/09/09,,191
124,"PGERARD","",17/09/09,,34
124,"PGERARD","",17/09/09,,67
124,"PGERARD","",17/09/09,,16
124,"PGERARD","",17/09/09,,54
254,"GDEROEP","",20/02/06,,974
254,"GDEROEP","",20/02/06,,197
254,"GDEROEP","",20/02/06,,562
254,"GDEROEP","",20/02/06,,234
254,"GDEROEP","",20/02/06,,104
254,"GDEROEP","",20/02/06,,293
254,"GDEROEP","",20/02/06,,106
254,"GDEROEP","",20/02/06,,14
254,"GDEROEP","",20/02/06,,143
254,"GDEROEP","",20/02/06,,1265
254,"GDEROEP","",20/02/06,,107
254,"GDEROEP","",20/02/06,,549
254,"GDEROEP","",20/02/06,,1269
254,"GDEROEP","",20/02/06,,18
254,"GDEROEP","",20/02/06,,108
254,"GDEROEP","",20/02/06,,80
254,"GDEROEP","",20/02/06,,295
254,"GDEROEP","",20/02/06,,52
254,"GDEROEP","",20/02/06,,1107
254,"GDEROEP","",20/02/06,,235
254,"GDEROEP","",20/02/06,,109
254,"GDEROEP","",20/02/06,,86
254,"GDEROEP","",20/02/06,,1111
254,"GDEROEP","",20/02/06,,236
254,"GDEROEP","",20/02/06,,138
254,"GDEROEP","",20/02/06,,237
254,"GDEROEP","",20/02/06,,221
254,"GDEROEP","",20/02/06,,101
254,"GDEROEP","",20/02/06,,1005
254,"GDEROEP","",20/02/06,,296
254,"GDEROEP","",20/02/06,,238
254,"GDEROEP","",20/02/06,,447
254,"GDEROEP","",20/02/06,,15
254,"GDEROEP","",20/02/06,,1138
254,"GDEROEP","",20/02/06,,336
254,"GDEROEP","",20/02/06,,1264
254,"GDEROEP","",20/02/06,,1142
254,"GDEROEP","",20/02/06,,1118
254,"GDEROEP","",20/02/06,,87
254,"GDEROEP","",20/02/06,,1120
254,"GDEROEP","",20/02/06,,35
254,"GDEROEP","",20/02/06,,88
254,"GDEROEP","",20/02/06,,1122
254,"GDEROEP","",20/02/06,,1224
254,"GDEROEP","",20/02/06,,152
254,"GDEROEP","",20/02/06,,44
254,"GDEROEP","",20/02/06,,493
254,"GDEROEP","",20/02/06,,110
254,"GDEROEP","",20/02/06,,239
254,"GDEROEP","",20/02/06,,659
254,"GDEROEP","",20/02/06,,124
254,"GDEROEP","",20/02/06,,240
254,"GDEROEP","",20/02/06,,32
254,"GDEROEP","",20/02/06,,89
254,"GDEROEP","",20/02/06,,36
254,"GDEROEP","",20/02/06,,251
254,"GDEROEP","",20/02/06,,60
254,"GDEROEP","",20/02/06,,1234
254,"GDEROEP","",20/02/06,,2
254,"GDEROEP","",20/02/06,,1124
254,"GDEROEP","",20/02/06,,1253
254,"GDEROEP","",20/02/06,,96
254,"GDEROEP","",20/02/06,,102
254,"GDEROEP","",20/02/06,,41
254,"GDEROEP","",20/02/06,,1126
254,"GDEROEP","",20/02/06,,123
254,"GDEROEP","",20/02/06,,303
254,"GDEROEP","",20/02/06,,304
254,"GDEROEP","",20/02/06,,1208
254,"GDEROEP","",20/02/06,,193
254,"GDEROEP","",20/02/06,,71
254,"GDEROEP","",20/02/06,,1014
254,"GDEROEP","",20/02/06,,1127
254,"GDEROEP","",20/02/06,,288
254,"GDEROEP","",20/02/06,,62
254,"GDEROEP","",20/02/06,,119
254,"GDEROEP","",20/02/06,,253
254,"GDEROEP","",20/02/06,,111
254,"GDEROEP","",20/02/06,,112
254,"GDEROEP","",20/02/06,,1239
254,"GDEROEP","",20/02/06,,3
254,"GDEROEP","",20/02/06,,64
254,"GDEROEP","",20/02/06,,73
254,"GDEROEP","",20/02/06,,1139
254,"GDEROEP","",20/02/06,,540
254,"GDEROEP","",20/02/06,,1273
254,"GDEROEP","",20/02/06,,46
254,"GDEROEP","",20/02/06,,65
254,"GDEROEP","",20/02/06,,805
254,"GDEROEP","",20/02/06,,103
254,"GDEROEP","",20/02/06,,1249
254,"GDEROEP","",20/02/06,,113
254,"GDEROEP","",20/02/06,,1267
254,"GDEROEP","",20/02/06,,819
254,"GDEROEP","",20/02/06,,27
254,"GDEROEP","",20/02/06,,1036
254,"GDEROEP","",20/02/06,,1201
254,"GDEROEP","",20/02/06,,17
254,"GDEROEP","",20/02/06,,991
254,"GDEROEP","",20/02/06,,1225
254,"GDEROEP","",20/02/06,,1274
254,"GDEROEP","",20/02/06,,1227
254,"GDEROEP","",20/02/06,,91
254,"GDEROEP","",20/02/06,,1245
254,"GDEROEP","",20/02/06,,13
254,"GDEROEP","",20/02/06,,1257
254,"GDEROEP","",20/02/06,,212
254,"GDEROEP","",20/02/06,,468
254,"GDEROEP","",20/02/06,,19
254,"GDEROEP","",20/02/06,,25
254,"GDEROEP","",20/02/06,,333
254,"GDEROEP","",20/02/06,,1254
254,"GDEROEP","",20/02/06,,23
268,"GDEROEP","",21/02/06,,6
126,"PGERARD","",17/09/09,,70
126,"PGERARD","",17/09/09,,57
126,"PGERARD","",17/09/09,,39
126,"PGERARD","",17/09/09,,40
126,"PGERARD","",17/09/09,,284
128,"PGERARD","",17/09/09,,106
128,"PGERARD","",17/09/09,,108
128,"PGERARD","",17/09/09,,109
128,"PGERARD","",17/09/09,,221
151,"PGERARD","",10/04/06,,32
257,"GDEROEP","",23/08/06,,169
257,"GDEROEP","",23/08/06,,651
