"PRJ_ID","REG_ID","PRJ_REG_USERCREATION","PRJ_REG_USERUPDATE","PRJ_REG_DATEUPDATE","PRJ_REG_DATECREATION"
110,317,"GDEROEP","",,27/06/12
133,601,"GDEROEP","",,06/04/06
110,262,"GDEROEP","",,27/06/12
182,458,"GDEROEP","",,23/05/06
263,9,"GDEROEP","",,12/04/06
263,8,"GDEROEP","",,12/04/06
271,495,"GDEROEP","",,23/02/06
271,37,"GDEROEP","",,23/02/06
271,564,"GDEROEP","",,23/02/06
271,582,"GDEROEP","",,23/02/06
271,309,"GDEROEP","",,23/02/06
472,502,"PGERARD","",,17/01/12
161,275,"PGERARD","",,08/10/07
183,458,"GDEROEP","",,23/05/06
271,397,"GDEROEP","",,23/02/06
271,11,"GDEROEP","",,23/02/06
271,459,"GDEROEP","",,23/02/06
271,310,"GDEROEP","",,23/02/06
271,565,"GDEROEP","",,23/02/06
271,12,"GDEROEP","",,23/02/06
271,18,"GDEROEP","",,23/02/06
271,311,"GDEROEP","",,23/02/06
114,458,"GDEROEP","",,23/02/06
111,37,"PGERARD","",,03/06/08
111,589,"PGERARD","",,03/06/08
111,255,"PGERARD","",,03/06/08
111,564,"PGERARD","",,03/06/08
111,365,"PGERARD","",,03/06/08
111,52,"PGERARD","",,03/06/08
111,393,"PGERARD","",,03/06/08
111,4,"PGERARD","",,03/06/08
111,368,"PGERARD","",,03/06/08
111,146,"PGERARD","",,03/06/08
111,370,"PGERARD","",,03/06/08
111,58,"PGERARD","",,03/06/08
111,59,"PGERARD","",,03/06/08
111,373,"PGERARD","",,03/06/08
111,343,"PGERARD","",,03/06/08
111,91,"PGERARD","",,03/06/08
111,375,"PGERARD","",,03/06/08
111,318,"PGERARD","",,03/06/08
271,312,"GDEROEP","",,23/02/06
271,390,"GDEROEP","",,23/02/06
111,403,"PGERARD","",,03/06/08
111,383,"PGERARD","",,03/06/08
271,391,"GDEROEP","",,23/02/06
271,392,"GDEROEP","",,23/02/06
111,384,"PGERARD","",,03/06/08
271,393,"GDEROEP","",,23/02/06
271,4,"GDEROEP","",,23/02/06
271,732,"GDEROEP","",,23/02/06
271,314,"GDEROEP","",,23/02/06
271,398,"GDEROEP","",,23/02/06
271,315,"GDEROEP","",,23/02/06
271,399,"GDEROEP","",,23/02/06
271,566,"GDEROEP","",,23/02/06
271,498,"GDEROEP","",,23/02/06
271,19,"GDEROEP","",,23/02/06
111,8,"PGERARD","",,03/06/08
111,387,"PGERARD","",,03/06/08
111,75,"PGERARD","",,03/06/08
111,100,"PGERARD","",,03/06/08
111,78,"PGERARD","",,03/06/08
111,79,"PGERARD","",,03/06/08
111,329,"PGERARD","",,03/06/08
111,102,"PGERARD","",,03/06/08
111,395,"PGERARD","",,03/06/08
111,357,"PGERARD","",,03/06/08
410,318,"PGERARD","",,24/07/08
419,9,"GDEROEP","",,31/07/08
419,8,"GDEROEP","",,31/07/08
271,401,"GDEROEP","",,23/02/06
271,316,"GDEROEP","",,23/02/06
110,375,"GDEROEP","",,27/06/12
110,955,"GDEROEP","",,27/06/12
110,92,"GDEROEP","",,27/06/12
110,140,"GDEROEP","",,27/06/12
110,485,"GDEROEP","",,27/06/12
110,39,"GDEROEP","",,27/06/12
110,62,"GDEROEP","",,27/06/12
110,378,"GDEROEP","",,27/06/12
110,954,"GDEROEP","",,27/06/12
110,63,"GDEROEP","",,27/06/12
110,379,"GDEROEP","",,27/06/12
110,320,"GDEROEP","",,27/06/12
110,995,"GDEROEP","",,27/06/12
110,403,"GDEROEP","",,27/06/12
110,64,"GDEROEP","",,27/06/12
110,953,"GDEROEP","",,27/06/12
110,93,"GDEROEP","",,27/06/12
110,94,"GDEROEP","",,27/06/12
110,20,"GDEROEP","",,27/06/12
110,263,"GDEROEP","",,27/06/12
110,897,"GDEROEP","",,27/06/12
110,251,"GDEROEP","",,27/06/12
110,597,"GDEROEP","",,27/06/12
110,21,"GDEROEP","",,27/06/12
110,95,"GDEROEP","",,27/06/12
110,141,"GDEROEP","",,27/06/12
110,951,"GDEROEP","",,27/06/12
110,65,"GDEROEP","",,27/06/12
110,328,"GDEROEP","",,27/06/12
110,250,"GDEROEP","",,27/06/12
110,529,"GDEROEP","",,27/06/12
110,349,"GDEROEP","",,27/06/12
110,530,"GDEROEP","",,27/06/12
110,583,"GDEROEP","",,27/06/12
110,949,"GDEROEP","",,27/06/12
110,289,"GDEROEP","",,27/06/12
110,383,"GDEROEP","",,27/06/12
110,321,"GDEROEP","",,27/06/12
110,115,"GDEROEP","",,27/06/12
110,384,"GDEROEP","",,27/06/12
110,948,"GDEROEP","",,27/06/12
110,322,"GDEROEP","",,27/06/12
110,66,"GDEROEP","",,27/06/12
110,350,"GDEROEP","",,27/06/12
110,598,"GDEROEP","",,27/06/12
110,946,"GDEROEP","",,27/06/12
110,509,"GDEROEP","",,27/06/12
110,387,"GDEROEP","",,27/06/12
110,270,"GDEROEP","",,27/06/12
110,98,"GDEROEP","",,27/06/12
110,74,"GDEROEP","",,27/06/12
110,22,"GDEROEP","",,27/06/12
110,588,"GDEROEP","",,27/06/12
110,945,"GDEROEP","",,27/06/12
110,323,"GDEROEP","",,27/06/12
110,120,"GDEROEP","",,27/06/12
110,75,"GDEROEP","",,27/06/12
110,119,"GDEROEP","",,27/06/12
110,96,"GDEROEP","",,27/06/12
110,591,"GDEROEP","",,27/06/12
110,944,"GDEROEP","",,27/06/12
110,943,"GDEROEP","",,27/06/12
110,303,"GDEROEP","",,27/06/12
110,352,"GDEROEP","",,27/06/12
110,76,"GDEROEP","",,27/06/12
110,491,"GDEROEP","",,27/06/12
110,940,"GDEROEP","",,27/06/12
110,290,"GDEROEP","",,27/06/12
271,317,"GDEROEP","",,23/02/06
271,318,"GDEROEP","",,23/02/06
271,39,"GDEROEP","",,23/02/06
271,394,"GDEROEP","",,23/02/06
271,319,"GDEROEP","",,23/02/06
271,567,"GDEROEP","",,23/02/06
271,733,"GDEROEP","",,23/02/06
271,320,"GDEROEP","",,23/02/06
271,403,"GDEROEP","",,23/02/06
271,396,"GDEROEP","",,23/02/06
271,20,"GDEROEP","",,23/02/06
271,508,"GDEROEP","",,23/02/06
271,474,"GDEROEP","",,23/02/06
271,500,"GDEROEP","",,23/02/06
271,21,"GDEROEP","",,23/02/06
271,321,"GDEROEP","",,23/02/06
271,499,"GDEROEP","",,23/02/06
271,568,"GDEROEP","",,23/02/06
271,569,"GDEROEP","",,23/02/06
271,570,"GDEROEP","",,23/02/06
271,22,"GDEROEP","",,23/02/06
271,323,"GDEROEP","",,23/02/06
271,477,"GDEROEP","",,23/02/06
271,324,"GDEROEP","",,23/02/06
271,571,"GDEROEP","",,23/02/06
271,23,"GDEROEP","",,23/02/06
271,501,"GDEROEP","",,23/02/06
271,527,"GDEROEP","",,23/02/06
271,325,"GDEROEP","",,23/02/06
271,326,"GDEROEP","",,23/02/06
271,327,"GDEROEP","",,23/02/06
271,328,"GDEROEP","",,23/02/06
271,395,"GDEROEP","",,23/02/06
271,329,"GDEROEP","",,23/02/06
271,330,"GDEROEP","",,23/02/06
271,9,"GDEROEP","",,23/02/06
271,25,"GDEROEP","",,23/02/06
271,8,"GDEROEP","",,23/02/06
271,476,"GDEROEP","",,23/02/06
271,528,"GDEROEP","",,23/02/06
110,531,"GDEROEP","",,27/06/12
110,939,"GDEROEP","",,27/06/12
110,938,"GDEROEP","",,27/06/12
110,937,"GDEROEP","",,27/06/12
110,899,"GDEROEP","",,27/06/12
110,291,"GDEROEP","",,27/06/12
110,83,"GDEROEP","",,27/06/12
110,936,"GDEROEP","",,27/06/12
110,935,"GDEROEP","",,27/06/12
110,246,"GDEROEP","",,27/06/12
110,77,"GDEROEP","",,27/06/12
110,100,"GDEROEP","",,27/06/12
110,99,"GDEROEP","",,27/06/12
110,78,"GDEROEP","",,27/06/12
110,454,"GDEROEP","",,27/06/12
110,527,"GDEROEP","",,27/06/12
110,292,"GDEROEP","",,27/06/12
110,325,"GDEROEP","",,27/06/12
110,327,"GDEROEP","",,27/06/12
110,326,"GDEROEP","",,27/06/12
110,596,"GDEROEP","",,27/06/12
110,79,"GDEROEP","",,27/06/12
110,427,"GDEROEP","",,27/06/12
110,133,"GDEROEP","",,27/06/12
110,101,"GDEROEP","",,27/06/12
110,989,"GDEROEP","",,27/06/12
110,121,"GDEROEP","",,27/06/12
110,329,"GDEROEP","",,27/06/12
110,102,"GDEROEP","",,27/06/12
110,80,"GDEROEP","",,27/06/12
110,395,"GDEROEP","",,27/06/12
110,357,"GDEROEP","",,27/06/12
110,134,"GDEROEP","",,27/06/12
110,993,"GDEROEP","",,27/06/12
110,81,"GDEROEP","",,27/06/12
110,135,"GDEROEP","",,27/06/12
110,136,"GDEROEP","",,27/06/12
110,496,"GDEROEP","",,27/06/12
110,103,"GDEROEP","",,27/06/12
110,245,"GDEROEP","",,27/06/12
110,294,"GDEROEP","",,27/06/12
110,528,"GDEROEP","",,27/06/12
110,991,"GDEROEP","",,27/06/12
110,455,"GDEROEP","",,27/06/12
110,106,"GDEROEP","",,27/06/12
110,25,"GDEROEP","",,27/06/12
110,934,"GDEROEP","",,27/06/12
110,359,"GDEROEP","",,27/06/12
110,8,"GDEROEP","",,27/06/12
110,36,"GDEROEP","",,27/06/12
110,360,"GDEROEP","",,27/06/12
110,516,"GDEROEP","",,27/06/12
110,986,"GDEROEP","",,27/06/12
110,428,"GDEROEP","",,27/06/12
110,105,"GDEROEP","",,27/06/12
110,104,"GDEROEP","",,27/06/12
411,586,"GDEROEP","",,12/08/08
411,322,"GDEROEP","",,12/08/08
411,363,"GDEROEP","",,12/08/08
411,389,"GDEROEP","",,12/08/08
411,37,"GDEROEP","",,12/08/08
411,564,"GDEROEP","",,12/08/08
411,309,"GDEROEP","",,12/08/08
411,11,"GDEROEP","",,12/08/08
411,565,"GDEROEP","",,12/08/08
411,12,"GDEROEP","",,12/08/08
411,629,"GDEROEP","",,12/08/08
411,312,"GDEROEP","",,12/08/08
411,4,"GDEROEP","",,12/08/08
411,715,"GDEROEP","",,12/08/08
411,362,"GDEROEP","",,12/08/08
411,314,"GDEROEP","",,12/08/08
411,498,"GDEROEP","",,12/08/08
411,770,"GDEROEP","",,12/08/08
411,318,"GDEROEP","",,12/08/08
411,39,"GDEROEP","",,12/08/08
411,394,"GDEROEP","",,12/08/08
411,464,"GDEROEP","",,12/08/08
411,567,"GDEROEP","",,12/08/08
411,379,"GDEROEP","",,12/08/08
411,320,"GDEROEP","",,12/08/08
411,380,"GDEROEP","",,12/08/08
411,321,"GDEROEP","",,12/08/08
411,768,"GDEROEP","",,12/08/08
411,385,"GDEROEP","",,12/08/08
411,325,"GDEROEP","",,12/08/08
411,8,"GDEROEP","",,12/08/08
411,528,"GDEROEP","",,12/08/08
134,602,"GDEROEP","",,15/02/06
235,605,"PGERARD","",,21/01/09
261,586,"GDEROEP","",,17/01/12
164,464,"PGERARD","",,25/05/04
261,2,"GDEROEP","",,17/01/12
408,9,"PGERARD","",,27/07/09
282,8,"GDEROEP","",,23/05/06
408,395,"PGERARD","",,27/07/09
156,439,"PGERARD","",,10/04/06
440,502,"GDEROEP","",,17/01/12
431,538,"PGERARD","",,27/07/09
431,4,"PGERARD","",,27/07/09
452,598,"PGERARD","",,29/07/09
467,914,"GDEROEP","",,17/01/12
261,322,"GDEROEP","",,17/01/12
261,397,"GDEROEP","",,17/01/12
261,310,"GDEROEP","",,17/01/12
261,365,"GDEROEP","",,17/01/12
281,9,"GDEROEP","",,24/07/06
281,8,"GDEROEP","",,24/07/06
261,629,"GDEROEP","",,17/01/12
261,391,"GDEROEP","",,17/01/12
448,380,"GDEROEP","",,12/08/09
448,9,"GDEROEP","",,12/08/09
448,267,"GDEROEP","",,12/08/09
445,4,"GDEROEP","",,12/08/09
261,392,"GDEROEP","",,17/01/12
261,393,"GDEROEP","",,17/01/12
261,4,"GDEROEP","",,17/01/12
261,715,"GDEROEP","",,17/01/12
261,362,"GDEROEP","",,17/01/12
261,900,"GDEROEP","",,17/01/12
261,370,"GDEROEP","",,17/01/12
261,315,"GDEROEP","",,17/01/12
261,399,"GDEROEP","",,17/01/12
261,373,"GDEROEP","",,17/01/12
261,381,"GDEROEP","",,17/01/12
261,316,"GDEROEP","",,17/01/12
261,317,"GDEROEP","",,17/01/12
261,493,"GDEROEP","",,17/01/12
120,433,"GDEROEP","",,24/07/06
261,376,"GDEROEP","",,17/01/12
261,318,"GDEROEP","",,17/01/12
289,528,"GDEROEP","",,17/06/05
261,896,"GDEROEP","",,17/01/12
409,8,"GDEROEP","",,21/01/08
261,379,"GDEROEP","",,17/01/12
261,396,"GDEROEP","",,17/01/12
261,508,"GDEROEP","",,17/01/12
261,251,"GDEROEP","",,17/01/12
261,713,"GDEROEP","",,17/01/12
261,712,"GDEROEP","",,17/01/12
261,901,"GDEROEP","",,17/01/12
261,249,"GDEROEP","",,17/01/12
261,321,"GDEROEP","",,17/01/12
261,384,"GDEROEP","",,17/01/12
261,387,"GDEROEP","",,17/01/12
261,716,"GDEROEP","",,17/01/12
261,717,"GDEROEP","",,17/01/12
261,325,"GDEROEP","",,17/01/12
261,121,"GDEROEP","",,17/01/12
113,459,"GDEROEP","",,02/03/06
261,395,"GDEROEP","",,17/01/12
261,330,"GDEROEP","",,17/01/12
261,9,"GDEROEP","",,17/01/12
282,9,"GDEROEP","",,23/05/06
224,9,"PGERARD","",,28/07/08
261,8,"GDEROEP","",,17/01/12
224,180,"PGERARD","",,28/07/08
224,59,"PGERARD","",,28/07/08
224,189,"PGERARD","",,28/07/08
224,263,"PGERARD","",,28/07/08
224,227,"PGERARD","",,28/07/08
224,134,"PGERARD","",,28/07/08
224,152,"PGERARD","",,28/07/08
224,153,"PGERARD","",,28/07/08
261,476,"GDEROEP","",,17/01/12
261,152,"GDEROEP","",,17/01/12
259,459,"GDEROEP","",,01/08/08
259,178,"GDEROEP","",,01/08/08
259,711,"GDEROEP","",,01/08/08
259,195,"GDEROEP","",,01/08/08
259,439,"GDEROEP","",,01/08/08
259,472,"GDEROEP","",,01/08/08
259,528,"GDEROEP","",,01/08/08
261,902,"GDEROEP","",,17/01/12
261,714,"GDEROEP","",,17/01/12
120,315,"GDEROEP","",,24/07/06
120,263,"GDEROEP","",,24/07/06
120,8,"GDEROEP","",,24/07/06
120,501,"GDEROEP","",,24/07/06
120,528,"GDEROEP","",,24/07/06
120,104,"GDEROEP","",,24/07/06
278,9,"GDEROEP","",,24/07/06
278,8,"GDEROEP","",,24/07/06
274,586,"GDEROEP","",,23/08/06
274,397,"GDEROEP","",,23/08/06
274,459,"GDEROEP","",,23/08/06
274,312,"GDEROEP","",,23/08/06
274,398,"GDEROEP","",,23/08/06
274,180,"GDEROEP","",,23/08/06
274,318,"GDEROEP","",,23/08/06
274,396,"GDEROEP","",,23/08/06
274,380,"GDEROEP","",,23/08/06
274,321,"GDEROEP","",,23/08/06
274,77,"GDEROEP","",,23/08/06
274,325,"GDEROEP","",,23/08/06
274,872,"GDEROEP","",,23/08/06
274,329,"GDEROEP","",,23/08/06
274,330,"GDEROEP","",,23/08/06
261,899,"GDEROEP","",,17/01/12
206,9,"PGERARD","",,13/02/12
206,8,"PGERARD","",,13/02/12
274,476,"GDEROEP","",,23/08/06
274,528,"GDEROEP","",,23/08/06
274,153,"GDEROEP","",,23/08/06
274,184,"GDEROEP","",,23/08/06
409,874,"GDEROEP","",,21/01/08
298,9,"PGERARD","",,24/07/08
298,8,"PGERARD","",,24/07/08
414,538,"GDEROEP","",,06/02/08
414,2,"GDEROEP","",,06/02/08
414,4,"GDEROEP","",,06/02/08
414,319,"GDEROEP","",,06/02/08
414,8,"GDEROEP","",,06/02/08
224,314,"PGERARD","",,28/07/08
233,495,"PGERARD","",,05/07/04
233,629,"PGERARD","",,05/07/04
233,390,"PGERARD","",,05/07/04
233,392,"PGERARD","",,05/07/04
233,4,"PGERARD","",,05/07/04
233,9,"PGERARD","",,05/07/04
233,373,"PGERARD","",,05/07/04
250,154,"GDEROEP","",,16/02/06
250,373,"GDEROEP","",,16/02/06
251,498,"GDEROEP","",,16/02/06
233,394,"PGERARD","",,05/07/04
251,318,"GDEROEP","",,16/02/06
